symbol,yahoo,name,sector,exchange,sp500,tier,market_cap
MTG,MTG,MGIC Investment Corporation,Financials,NYSE,0,Mid cap,6252205123
OTEX,OTEX,Open Text Corporation,Information Technology,NASDAQ,0,Mid cap,6250033258
SNDR,SNDR,Schneider National Inc.,Industrials,NYSE,0,Mid cap,6245971031
WFRD,WFRD,Weatherford International plc,Energy,NASDAQ,0,Mid cap,6223730161
RUSHA,RUSHA,Rush Enterprises Inc.,Consumer Discretionary,NASDAQ,0,Mid cap,6223200263
AUGO,AUGO,Aura Minerals Inc.,Materials,NASDAQ,0,Mid cap,6211295101
LSTR,LSTR,Landstar System Inc.,Industrials,NASDAQ,0,Mid cap,6210117906
HOMB,HOMB,Home BancShares Inc.,Financials,NYSE,0,Mid cap,6205547563
OR,OR,OR Royalties Inc.,Materials,NYSE,0,Mid cap,6202363181
MATX,MATX,Matson Inc.,Industrials,NYSE,0,Mid cap,6183138011
RUSHB,RUSHB,Rush Enterprises Inc.,Consumer Discretionary,NASDAQ,0,Mid cap,6142379481
CZR,CZR,Caesars Entertainment Inc.,Consumer Discretionary,NASDAQ,0,Mid cap,6142169216
STVN,STVN,Stevanato Group S.p.A.,Health Care,NYSE,0,Mid cap,6138618205
XENE,XENE,Xenon Pharmaceuticals Inc.,Health Care,NASDAQ,0,Mid cap,6124729248
CHDN,CHDN,Churchill Downs Incorporated,Consumer Discretionary,NASDAQ,0,Mid cap,6123863350
VSEC,VSEC,VSE Corporation,Industrials,NASDAQ,0,Mid cap,6121509423
PTCT,PTCT,PTC Therapeutics Inc.,Health Care,NASDAQ,0,Mid cap,6118511395
BBUC,BBUC,Brookfield Business Corporation,Industrials,NYSE,0,Mid cap,6108102000
DUOL,DUOL,Duolingo Inc.,Information Technology,NASDAQ,0,Mid cap,6099039015
STWD,STWD,STARWOOD PROPERTY TRUST INC. Starwood Property Trust Inc.,Real Estate,NYSE,0,Mid cap,6098813977
DNTH,DNTH,Dianthus Therapeutics Inc.,Health Care,NASDAQ,0,Mid cap,6092372452
MTDR,MTDR,Matador Resources Company,Energy,NYSE,0,Mid cap,6092183817
MIDD,MIDD,Middleby Corporation,Industrials,NASDAQ,0,Mid cap,6081349712
CACC,CACC,Credit Acceptance Corporation,Financials,NASDAQ,0,Mid cap,6078660036
MCY,MCY,Mercury General Corporation,Financials,NYSE,0,Mid cap,6065054657
FBIN,FBIN,Fortune Brands Innovations Inc.,Materials,NYSE,0,Mid cap,6061683602
BYD,BYD,Boyd Gaming Corporation,Consumer Discretionary,NYSE,0,Mid cap,6060914636
LEA,LEA,Lear Corporation,Consumer Discretionary,NYSE,0,Mid cap,6059054010
AMTM,AMTM,Amentum Holdings Inc.,Industrials,NYSE,0,Mid cap,6051715222
MTRN,MTRN,Materion Corporation,Industrials,NYSE,0,Mid cap,6042821936
NTSK,NTSK,Netskope Inc.,Information Technology,NASDAQ,0,Mid cap,6006344661
BLCO,BLCO,Bausch + Lomb Corporation,Health Care,NYSE,0,Mid cap,5993232828
ABCB,ABCB,Ameris Bancorp,Financials,NYSE,0,Mid cap,5989714779
AUB,AUB,Atlantic Union Bankshares Corporation,Financials,NYSE,0,Mid cap,5979372776
TFX,TFX,Teleflex Incorporated,Health Care,NYSE,0,Mid cap,5975593081
RGTI,RGTI,Rigetti Computing Inc.,Information Technology,NASDAQ,0,Mid cap,5963234598
ORKA,ORKA,Oruka Therapeutics Inc.,Health Care,NASDAQ,0,Mid cap,5960041821
TEO,TEO,Telecom Argentina SA,Information Technology,NYSE,0,Mid cap,5957101036
TXNM,TXNM,TXNM Energy Inc.,Utilities,NYSE,0,Mid cap,5935455994
KNSA,KNSA,Kiniksa Pharmaceuticals International plc,Health Care,NASDAQ,0,Mid cap,5934506429
NXST,NXST,Nexstar Media Group Inc.,Industrials,NASDAQ,0,Mid cap,5917840638
ASB,ASB,Associated Banc-Corp,Financials,NYSE,0,Mid cap,5907217334
RLI,RLI,RLI Corp.,Financials,NYSE,0,Mid cap,5894577863
VFC,VFC,V.F. Corporation,Industrials,NYSE,0,Mid cap,5893087204
MWH,MWH,SOLV Energy Inc.,Industrials,NASDAQ,0,Mid cap,5875542323
RIG,RIG,Transocean Ltd (Switzerland),Energy,NYSE,0,Mid cap,5875420000
LGND,LGND,Ligand Pharmaceuticals Incorporated,Health Care,NASDAQ,0,Mid cap,5875037032
HRB,HRB,H&R Block Inc.,Consumer Discretionary,NYSE,0,Mid cap,5855053961
ELF,ELF,e.l.f. Beauty Inc.,Consumer Discretionary,NYSE,0,Mid cap,5854297406
CPA,CPA,Copa Holdings S.A.,Industrials,NYSE,0,Mid cap,5847022538
ACI,ACI,Albertsons Companies Inc.,Consumer Staples,NYSE,0,Mid cap,5828761453
OZK,OZK,Bank OZK,Financials,NASDAQ,0,Mid cap,5816328546
FLG,FLG,Flagstar Bank N.A.,Financials,NYSE,0,Mid cap,5814570952
G,G,Genpact Limited,Industrials,NYSE,0,Mid cap,5812378228
AROC,AROC,Archrock Inc.,Energy,NYSE,0,Mid cap,5800187160
LB,LB,LandBridge Company LLC,Energy,NYSE,0,Mid cap,5799326533
AXTI,AXTI,AXT Inc,Information Technology,NASDAQ,0,Mid cap,5795185639
AMRX,AMRX,Amneal Pharmaceuticals Inc.,Health Care,NASDAQ,0,Mid cap,5787073447
DLB,DLB,Dolby Laboratories,Other,NYSE,0,Mid cap,5785921467
TVTX,TVTX,Travere Therapeutics Inc.,Health Care,NASDAQ,0,Mid cap,5780089548
MKTX,MKTX,MarketAxess Holdings Inc.,Financials,NASDAQ,0,Mid cap,5776227296
PRM,PRM,Perimeter Solutions SA,Materials,NYSE,0,Mid cap,5771600905
MGY,MGY,Magnolia Oil & Gas Corporation,Energy,NYSE,0,Mid cap,5768932298
POR,POR,Portland General Electric Co,Utilities,NYSE,0,Mid cap,5768659647
RSI,RSI,Rush Street Interactive Inc.,Consumer Discretionary,NYSE,0,Mid cap,5766521147
AIR,AIR,AAR Corp.,Industrials,NYSE,0,Mid cap,5759429650
OBDC,OBDC,Blue Owl Capital Corporation,Financials,NYSE,0,Mid cap,5740179503
SON,SON,Sonoco Products Company,Materials,NYSE,0,Mid cap,5736727674
SIGI,SIGI,Selective Insurance Group Inc.,Financials,NASDAQ,0,Mid cap,5732336321
SPHR,SPHR,Sphere Entertainment Co.,Consumer Discretionary,NYSE,0,Mid cap,5729656861
BCPC,BCPC,Balchem Corporation,Materials,NASDAQ,0,Mid cap,5719873308
CSW,CSW,CSW Industrials Inc.,Industrials,NYSE,0,Mid cap,5713800021
RDNT,RDNT,RadNet Inc.,Health Care,NASDAQ,0,Mid cap,5691939173
AX,AX,Axos Financial Inc.,Financials,NYSE,0,Mid cap,5690738885
RITM,RITM,Rithm Capital Corp.,Real Estate,NYSE,0,Mid cap,5690167646
CWST,CWST,Casella Waste Systems Inc.,Industrials,NASDAQ,0,Mid cap,5687364825
BKH,BKH,Black Hills Corporation,Utilities,NYSE,0,Mid cap,5682964009
WFG,WFG,West Fraser Timber Co. Ltd,Materials,NYSE,0,Mid cap,5648837719
MMYT,MMYT,MakeMyTrip Limited,Industrials,NASDAQ,0,Mid cap,5644460307
GVA,GVA,Granite Construction Incorporated,Industrials,NYSE,0,Mid cap,5615861923
HRI,HRI,Herc Holdings Inc.,Industrials,NYSE,0,Mid cap,5613139448
ANDG,ANDG,Andersen Group Inc.,Industrials,NYSE,0,Mid cap,5610480738
CVLT,CVLT,Commvault Systems Inc.,Information Technology,NASDAQ,0,Mid cap,5606206172
PI,PI,Impinj Inc.,Industrials,NASDAQ,0,Mid cap,5602457168
STEP,STEP,StepStone Group Inc.,Financials,NASDAQ,0,Mid cap,5600604162
ESAB,ESAB,ESAB Corporation,Industrials,NYSE,0,Mid cap,5592594064
REYN,REYN,Reynolds Consumer Products Inc.,Materials,NASDAQ,0,Mid cap,5590176843
NJR,NJR,NewJersey Resources Corporation Common Stock,Utilities,NYSE,0,Mid cap,5582766389
ADT,ADT,ADT Inc.,Industrials,NYSE,0,Mid cap,5581472655
ALK,ALK,Alaska Air Group Inc.,Industrials,NYSE,0,Mid cap,5575691875
UEC,UEC,Uranium Energy Corp.,Materials,AMEX,0,Mid cap,5572262841
HLNE,HLNE,Hamilton Lane Incorporated,Financials,NASDAQ,0,Mid cap,5567827757
GTX,GTX,Garrett Motion Inc.,Consumer Discretionary,NASDAQ,0,Mid cap,5566828408
ACMR,ACMR,ACM Research Inc.,Industrials,NASDAQ,0,Mid cap,5549644274
ENPH,ENPH,Enphase Energy Inc.,Information Technology,NASDAQ,0,Mid cap,5532896412
GXO,GXO,GXO Logistics Inc.,Industrials,NYSE,0,Mid cap,5531237245
SXT,SXT,Sensient Technologies Corporation,Materials,NYSE,0,Mid cap,5527632265
ALH,ALH,Alliance Laundry Holdings Inc.,Industrials,NYSE,0,Mid cap,5515362266
MMED,MMED,MiniMed Group Inc.,Health Care,NASDAQ,0,Mid cap,5504519762
OUT,OUT,OUTFRONT Media Inc.,Real Estate,NYSE,0,Mid cap,5494942147
LPX,LPX,Louisiana-Pacific Corporation,Materials,NYSE,0,Mid cap,5489686919
MAIN,MAIN,Main Street Capital Corporation,Financials,NYSE,0,Mid cap,5480821052
WH,WH,Wyndham Hotels & Resorts Inc.,Consumer Discretionary,NYSE,0,Mid cap,5477522915
VSNT,VSNT,Versant Media Group Inc.,Industrials,NASDAQ,0,Mid cap,5471728240
PSMT,PSMT,PriceSmart Inc.,Consumer Discretionary,NASDAQ,0,Mid cap,5463855774
GOLF,GOLF,Acushnet Holdings Corp.,Consumer Discretionary,NYSE,0,Mid cap,5462507604
ACIW,ACIW,ACI Worldwide Inc.,Information Technology,NASDAQ,0,Mid cap,5456176462
VAL,VAL,Valaris Limited,Energy,NYSE,0,Mid cap,5455655228
WHD,WHD,Cactus Inc.,Energy,NYSE,0,Mid cap,5444182414
VSH,VSH,Vishay Intertechnology Inc.,Industrials,NYSE,0,Mid cap,5431156303
BETA,BETA,Beta Technologies Inc.,Industrials,NYSE,0,Mid cap,5425074007
PEGA,PEGA,Pegasystems Inc.,Information Technology,NASDAQ,0,Mid cap,5382617899
SHC,SHC,Sotera Health Company,Health Care,NASDAQ,0,Mid cap,5378249507
SBRA,SBRA,Sabra Health Care REIT Inc.,Real Estate,NASDAQ,0,Mid cap,5374936386
OTF,OTF,Blue Owl Technology Finance Corp.,Other,NYSE,0,Mid cap,5360769051
KRG,KRG,Kite Realty Group Trust,Real Estate,NYSE,0,Mid cap,5359280458
CWEN,CWEN,Clearway Energy Inc.,Utilities,NYSE,0,Mid cap,5351782632
SAIC,SAIC,Science Applications International Corporation,Information Technology,NASDAQ,0,Mid cap,5349708676
BMA,BMA,Banco Macro S.A. ADR (representing Ten,Financials,NYSE,0,Mid cap,5348499860
XMTR,XMTR,Xometry Inc.,Industrials,NASDAQ,0,Mid cap,5339404207
OMAB,OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. ADS,Industrials,NASDAQ,0,Mid cap,5331068898
CAKE,CAKE,Cheesecake Factory Incorporated,Consumer Discretionary,NASDAQ,0,Mid cap,5326875870
WTM,WTM,White Mountains Insurance Group Ltd.,Financials,NYSE,0,Mid cap,5323453565
MMSI,MMSI,Merit Medical Systems Inc.,Health Care,NASDAQ,0,Mid cap,5316615797
KGS,KGS,Kodiak Gas Services Inc.,Energy,NYSE,0,Mid cap,5315720376
MTN,MTN,Vail Resorts Inc.,Consumer Discretionary,NYSE,0,Mid cap,5303337675
IEP,IEP,Icahn Enterprises L.P.,Energy,NASDAQ,0,Mid cap,5299872018
IRDM,IRDM,Iridium Communications Inc,Information Technology,NASDAQ,0,Mid cap,5290601923
EXLS,EXLS,ExlService Holdings Inc.,Industrials,NASDAQ,0,Mid cap,5289760090
PIPR,PIPR,Piper Sandler Companies,Financials,NYSE,0,Mid cap,5285431064
BC,BC,Brunswick Corporation,Industrials,NYSE,0,Mid cap,5284230253
OCTV,OCTV,Octave Intelligence plc,Information Technology,NASDAQ,0,Mid cap,5282855668
LAUR,LAUR,Laureate Education Inc.,Real Estate,NASDAQ,0,Mid cap,5281310462
EBC,EBC,Eastern Bankshares Inc.,Financials,NASDAQ,0,Mid cap,5279308381
BB,BB,BlackBerry Limited,Information Technology,NYSE,0,Mid cap,5262831435
RNG,RNG,RingCentral Inc.,Information Technology,NYSE,0,Mid cap,5261723268
MYRG,MYRG,MYR Group Inc.,Industrials,NASDAQ,0,Mid cap,5253376335
UNF,UNF,Unifirst Corporation,Consumer Discretionary,NYSE,0,Mid cap,5251101314
PECO,PECO,Phillips Edison & Company Inc.,Real Estate,NASDAQ,0,Mid cap,5244525000
HASI,HASI,HA Sustainable Infrastructure Capital Inc.,Financials,NYSE,0,Mid cap,5224644799
MC,MC,Moelis & Company,Financials,NYSE,0,Mid cap,5215068001
TPC,TPC,Tutor Perini Corporation,Consumer Discretionary,NYSE,0,Mid cap,5210125186
CNX,CNX,CNX Resources Corporation,Energy,NYSE,0,Mid cap,5198739404
ONDS,ONDS,Ondas Inc.,Information Technology,NASDAQ,0,Mid cap,5191412957
BDC,BDC,Belden Inc,Information Technology,NYSE,0,Mid cap,5190365329
CIGI,CIGI,Colliers International Group Inc. Subordinate Voting Shares,Real Estate,NASDAQ,0,Mid cap,5189081984
UFPI,UFPI,UFP Industries Inc.,Materials,NASDAQ,0,Mid cap,5187386614
CRSP,CRSP,CRISPR Therapeutics AG,Health Care,NASDAQ,0,Mid cap,5174990789
RELY,RELY,Remitly Global Inc.,Industrials,NASDAQ,0,Mid cap,5169324599
EQPT,EQPT,EquipmentShare.com Inc,Industrials,NASDAQ,0,Mid cap,5163594485
LBRDA,LBRDA,Liberty Broadband Corporation,Communication Services,NASDAQ,0,Mid cap,5155873439
CNO,CNO,CNO Financial Group Inc.,Financials,NYSE,0,Mid cap,5149103425
LBRDK,LBRDK,Liberty Broadband Corporation,Communication Services,NASDAQ,0,Mid cap,5148698552
CMBT,CMBT,CMB.TECH NV,Industrials,NYSE,0,Mid cap,5147275870
SLM,SLM,SLM Corporation,Financials,NASDAQ,0,Mid cap,5144108240
SKY,SKY,Champion Homes Inc.,Consumer Discretionary,NYSE,0,Mid cap,5138157484
GLNG,GLNG,Golar Lng Ltd,Industrials,NASDAQ,0,Mid cap,5123146785
LIF,LIF,Life360 Inc.,Information Technology,NASDAQ,0,Mid cap,5120797713
HESM,HESM,Hess Midstream LP,Energy,NYSE,0,Mid cap,5108365064
EPAM,EPAM,EPAM Systems Inc.,Information Technology,NYSE,0,Mid cap,5090176861
PSN,PSN,Parsons Corporation,Information Technology,NYSE,0,Mid cap,5078596485
GNTX,GNTX,Gentex Corporation,Consumer Discretionary,NASDAQ,0,Mid cap,5073254610
CENX,CENX,Century Aluminum Company,Materials,NASDAQ,0,Mid cap,5070440428
OGS,OGS,ONE Gas Inc.,Utilities,NYSE,0,Mid cap,5042329979
ACAD,ACAD,ACADIA Pharmaceuticals Inc.,Health Care,NASDAQ,0,Mid cap,5033044181
DFTX,DFTX,Definium Therapeutics Inc.,Health Care,NASDAQ,0,Mid cap,5032341368
CAR,CAR,Avis Budget Group Inc.,Consumer Discretionary,NASDAQ,0,Mid cap,5022615704
GHC,GHC,Graham Holdings Company,Real Estate,NYSE,0,Mid cap,5021396479
DOCS,DOCS,Doximity Inc.,Information Technology,NYSE,0,Mid cap,5010694088
TREX,TREX,Trex Company Inc.,Materials,NYSE,0,Mid cap,5008711392
ANF,ANF,Abercrombie & Fitch Company,Consumer Discretionary,NYSE,0,Mid cap,5003899180
BF.B,BF-B,Brown–Forman,Consumer Staples,NYSE,1,Unknown,0
CBOE,CBOE,Cboe Global Markets,Financials,,1,Unknown,0
